表格 1
序号,点名,点说明,站号,量程下限,量程上限,量纲,DCS画面控制窗口标题（通道号，站好，点名）
1,T051PCV01,#1减温减压器减压阀控制,12,0,100,%,
2,T051PCV02,#2减温减压器减压阀控制,12,0,100,%,
3,T021PCV01,高压减温减压器减压阀控制,12,0,100,%,
5,T021PCV02,低压减温减压器减压阀控制,12,0,100,%,
4,T021TCV01,高压减温减压器减温水调阀控制,12,0,100,%,
6,T051TCV01,#1减温减压器减温水调阀控制,12,0,100,%,
7,T051TCV02,#2减温减压器减温水调阀控制,12,0,100,%,
8,T021TCV02,低压减温减压器减温水调阀控制,12,0,100,%,
9,T041LCV04,永塘减温器减温水调节阀控制,12,0,100,%,"0,12,MAN41LCV4"
10,T021TCV03,永恒减温器减温水调阀控制,12,0,100,%,"0,12,MAN21LCV3"
11,T0BYAO04,永张线减温水调门阀位控制,12,0,100,%,"0,12,MAN41LCV5"
,,,,,,,
,,#1汽机高压进汽调节门开度控制,,,,,DEH系统
,,#2汽机高压进汽调节门开度控制,,,,,DEH系统
