表格 1
旧序号,点名,点名,点名,量程下限,量程上限,量纲,设备号,通道号,点类型
1,T121PT01,#1汽机电动主汽门前蒸汽压力,13,0,10,MPa,6,0,AI
2,T121PT02,#1汽机进汽压力,13,0,10,MPa,6,1,AI
3,T121PT04,#1汽机排汽压力（排汽门前）,13,0,2,MPa,6,3,AI
4,T121PT08,#1汽机至高加抽汽压力,13,0,2.5,MPa,6,7,AI
5,T121PT09,#1汽机排汽至热网蒸汽压力,13,0,2,MPa,7,0,AI
6,T121PT_GRMG,#1机排汽压力（排汽门后）,13,0,2,Mpa,7,5,AI
7,T121TE40,#1汽机至加热蒸汽母管温度,13,0,600,℃,15,1,AI
8,T121TE41,#1汽机至高加抽汽温度,13,0,600,℃,15,2,AI
9,T121TE51,#1汽机高加进口水温度,13,0,600,℃,15,5,AI
10,T121TE52,#1汽机高加出口水温度,13,0,600,℃,15,6,AI
11,T121TE59,#新热网管线温度,13,0,600,℃,18,1,AI
12,T1BYRTD01,#1汽机主汽门前蒸汽温度,13,0,600,℃,18,3,AI
13,T121TE01,#1汽机主蒸汽温度,13,0,1000,℃,14,0,AI
14,T121TE01A,#1汽机电动主汽门前主蒸汽温度,13,0,1000,℃,14,1,AI
15,T121TE22,#1机排气温度（排汽电动门前）,13,0,1000,℃,14,2,AI
16,T121TE23,#1机排气温度（排汽电动门后）,13,0,1000,℃,14,3,AI
17,T2BYAI21,#1机高加进汽流量,18,0,20,t/h,28,5,AI
18,BYAM13103,#1汽机主蒸汽流量累计,13,0,999999,t,,,AM
19,BYAM13104,#1汽机供热蒸汽流量累计,13,0,999999,t,,,AM
20,T121FT01BC,#1汽机主蒸汽流量,13,0,140,t/h,,,AM
21,T121FT02BC,#1汽机供热蒸汽流量,13,0,90,t/h,,,AM
22,T2AIBY13,#1机高加进汽流量累积,18,0,100,,,,AM
23,T21PT01_2,主蒸汽母管至#2汽机主蒸汽压力,18,0,10,Mpa,2,0,AI
24,T21PT02_2,#2汽机进汽压力,18,0,10,Mpa,2,1,AI
25,T21PT07,排汽压力,18,0,2,Mpa,2,4,AI
26,T21FT01_2,#2汽机主蒸汽流量,18,0,160,KPa,3,0,AI
27,T24ZT01_3,#3汽机调节汽阀行程,18,0,100,%,6,4,AI
28,T21TCV02I,#2机加热蒸汽调门控反馈,18,0,100,%,7,0,AI
29,T2GJWD01,高加进水温度,18,0,500,℃,14,2,AI
30,T2GJWD02,高加出水温度,18,0,500,℃,14,3,AI
31,T21TE01_2,#2汽机进汽温度,18,0,1000,℃,16,0,AI
32,T21TE02_2,#2汽机排汽温度,18,0,1000,℃,16,1,AI
33,T2BYAI22,#2机高加进汽流量,18,0,20,t/h,28,6,AI
34,T21FT01_2BC,#2汽机进汽流量,18,0,300,t/h,,,AM
