表格 1
锅炉号,设备,点名,点说明,站号,量程下限,量程上限,量纲,DCS画面控制窗口标题（通道号，站好，点名）,DCS画面控制窗口信息,控制窗口输入框信息
#1炉,给煤机,M14M01_1,#1锅炉给煤机变频器转速控制,15,0,100,%,0，15，B1M14M01,#1锅炉给煤机变频器转速控制,
,给粉机,M13M01_1,#1锅炉1角上给粉机变频器转速控制,15,0,100,%,,,
,,M13M02_1,#1锅炉1角下给粉机变频器转速控制,15,0,100,%,,,
,,M13M03_1,#1锅炉2角上给粉机变频器转速控制,15,0,100,%,,,
,,M13M04_1,#1锅炉2角下给粉机变频器转速控制,15,0,100,%,,,
,,M13M05_1,#1锅炉3角上给粉机变频器转速控制,15,0,100,%,,,
,,M13M06_1,#1锅炉3角下给粉机变频器转速控制,15,0,100,%,,,
,,M13M07_1,#1锅炉4角上给粉机变频器转速控制,15,0,100,%,,,
,,M13M08_1,#1锅炉4角下给粉机变频器转速控制,15,0,100,%,,,
,送风机,M20M02,#1炉送风机转速控制,15,0,100,%,,,
,引风机,M20M01,#1炉引风机转速控制,15,0,100,%,,,
,一次风风门,,#1锅炉一次风左侧热风门控制,,,,,0，14，SCS13CV09_1,#1炉左一次风热风门,
,,,#1锅炉一次风右侧热风门控制,,,,,0，14，SCS13CV10_1,#1炉右一次风热风门,
,二次风风门,,#1锅炉1角上二次风门控制,,,,,0，14，SCS013CV17,#1炉1角烧嘴上二次风门,
,,,#1锅炉1角下二次风门控制,,,,,0，14，SCS013CV18,#1炉1角烧嘴下二次风门,
,,,#1锅炉2角上二次风门控制,,,,,0，14，SCS013CV19,#1炉2角烧嘴上二次风门,
,,,#1锅炉2角下二次风门控制,,,,,0，14，SCS013CV20,#1炉2角烧嘴下二次风门,
,,,#1锅炉3角上二次风门控制,,,,,0，14，SCS013CV21,#1炉3角烧嘴上二次风门,
,,,#1锅炉3角下二次风门控制,,,,,0，14，SCS013CV22,#1炉3角烧嘴下二次风门,
,,,#1锅炉4角上二次风门控制,,,,,0，14，SCS013CV23,#1炉4角烧嘴上二次风门,
,,,#1锅炉4角下二次风门控制,,,,,0，14，SCS013CV24,#1炉4角烧嘴下二次风门,
,循环风风门,,#1锅炉循环风风门控制,,,,,0，15，SCS14PCV011,#1炉磨煤机再循环风门,
,磨煤机风门,,#1锅炉磨煤机入口热风门控制,,,,,0，15，SCS14TCV041,#1炉磨机入口热风门,
,,,#1锅炉磨煤机入口冷风门控制,,,,,0，15，SCS14CV021,#1炉磨机入口冷风门,
,,,#1锅炉磨煤机入口总风门控制,,,,,0，15，SCS14CV011,#1炉磨煤机入口总风门,
,排粉风机风门,,#1锅炉排粉风机入口风门控制,,,,,0，15，SCS14PCV031,#1炉排粉风机入口风门,
,减温水,C11TCV01_1,#1锅炉减温水调节门控制,14,0,100,%,,,
#2炉,给煤机,M14M01_2,#2锅炉给煤机变频器转速控制,17,0,100,%,0，17，MCSM14M01,#2锅炉给煤机变频器转速控制,输出值AV
,给粉机,M13M01_2,#2锅炉1角上给粉机变频器转速控制,17,0,100,%,,,
,,M13M02_2,#2锅炉1角下给粉机变频器转速控制,17,0,100,%,,,
,,M13M03_2,#2锅炉2角上给粉机变频器转速控制,17,0,100,%,,,
,,M13M04_2,#2锅炉2角下给粉机变频器转速控制,17,0,100,%,,,
,,M13M05_2,#2锅炉3角上给粉机变频器转速控制,17,0,100,%,,,
,,M13M06_2,#2锅炉3角下给粉机变频器转速控制,17,0,100,%,,,
,,M13M07_2,#2锅炉4角上给粉机变频器转速控制,17,0,100,%,,,
,,M13M08_2,#2锅炉4角下给粉机变频器转速控制,17,0,100,%,,,
,送风机,BP12,#2炉送风机变频转速控制,17,0,100,%,,,
,引风机,BP11,#2炉引风机变频转速控制,17,0,100,%,,,
,一次风风门,,#2锅炉一次风左侧热风门控制,,,,,0，16，SCS13CV09,#2炉一次风热风调门/左侧,输出值AV
,,,#2锅炉一次风右侧热风门控制,,,,,0，16，SCS13CV10,#2炉一次风热风调门/右侧,输出值AV
,二次风风门,,#2锅炉1角上二次风门控制,,,,,0，16，SCS13CV17,#2炉1角烧嘴上二次风门,输出值AV
,,,#2锅炉1角下二次风门控制,,,,,0，16，SCS13CV18,#2炉1角烧嘴下二次风门,输出值AV
,,,#2锅炉2角上二次风门控制,,,,,0，16，SCS13CV19_,#2炉2角烧嘴上二次风门,输出值AV
,,,#2锅炉2角下二次风门控制,,,,,0，16，SCS13CV20,#2炉2角烧嘴下二次风门,输出值AV
,,,#2锅炉3角上二次风门控制,,,,,0，16，SCS13CV21,#2炉3角烧嘴上二次风门,输出值AV
,,,#2锅炉3角下二次风门控制,,,,,0，16，SCS13CV22,#2炉3角烧嘴下二次风门,输出值AV
,,,#2锅炉4角上二次风门控制,,,,,0，16，SCS13CV19,#2炉4角烧嘴上二次风门,输出值AV
,,,#2锅炉4角下二次风门控制,,,,,0，16，SCS13CV24,#2炉4角烧嘴下二次风门,输出值AV
,循环风风门,CP01,#2炉磨煤机再循环风门控制,17,0,100,%,0，17，MCSCP01,#2炉磨煤机再循环风门控制,输出值AV
,磨煤机风门,CP02,#2锅炉磨煤机入口热风门控制,17,0,100,%,0，17，MCSCP02,#2炉磨煤机热风门控制,输出值AV
,,,#2锅炉磨煤机入口冷风门控制,,,,,0，17，SCS14CV02,#2炉磨煤机入口冷风门,输出值AV
,,,#2锅炉磨煤机入口总风门控制,,,,,0，17，SCS14CV01,#2炉磨煤机入口总风门,输出值AV
,排粉风机风门,,#2锅炉排粉风机入口风门控制,,,,,0，17，SCS14CV03,#2炉排粉机入口风门,输出值AV
,减温水,C11TCV01_2,#2锅炉减温水调节门控制,16,0,100,%,,,
#3炉,给粉机,M13M023,#3锅炉#1给粉机变频器转速控制,10,0,100,%,,,
,,M13M043,#3锅炉#2给粉机变频器转速控制,10,0,100,%,,,
,,M13M063,#3锅炉#3给粉机变频器转速控制,10,0,100,%,,,
,,M13M083,#3锅炉#4给粉机变频器转速控制,10,0,100,%,,,
,,M13M013,#3锅炉#5给粉机变频器转速控制,10,0,100,%,,,
,,M13M033,#3锅炉#6给粉机变频器转速控制,10,0,100,%,,,
,,M13M053,#3锅炉#7给粉机变频器转速控制,10,0,100,%,,,
,,M13M073,#3锅炉#8给粉机变频器转速控制,10,0,100,%,,,
,送风机,A13MM103,#3锅炉甲送风机变频器转速控制,10,0,100,%,,,
,,A13M103,#3锅炉乙送风机变频器转速控制,10,0,100,%,,,
,,QO13CV153,#3锅炉左侧送风机入口门控制,10,0,100,%,,,
,,QO13CV163,#3锅炉右侧送风机入口门控制,10,0,100,%,,,
,引风机,A12M013,#3锅炉甲引风机变频器转速控制,10,0,100,%,,,
,,A12M023,#3锅炉乙引风机变频器转速控制,10,0,100,%,,,
,,C12PCV013,#3锅炉甲引风机进口风门控制,10,0,100,%,,,
,,C12PCV023,#3锅炉乙引风机进口风门控制,10,0,100,%,,,
,二次风风门,QO13CV193,#3锅炉1角烧嘴上上二次风门控制,10,0,100,%,,,
,,QO13CV203,#3锅炉1角烧嘴上二次风门控制,10,0,100,%,,,
,,QO13CV213,#3锅炉1角烧嘴中二次风门控制,10,0,100,%,,,
,,QO13CV223,#3锅炉1角烧嘴下二次风门控制,10,0,100,%,,,
,,QO13CV253,#3锅炉2角烧嘴上上二次风门控制,10,0,100,%,,,
,,QO13CV263,#3锅炉2角烧嘴上二次风门控制,10,0,100,%,,,
,,QO13CV273,#3锅炉2角烧嘴中二次风门控制,10,0,100,%,,,
,,QO13CV283,#3锅炉2角烧嘴下二次风门控制,10,0,100,%,,,
,,QO13CV313,#3锅炉3角烧嘴上上二次风门控制,10,0,100,%,,,
,,QO13CV323,#3锅炉3角烧嘴上二次风门控制,10,0,100,%,,,
,,QO13CV333,#3锅炉3角烧嘴中二次风门控制,10,0,100,%,,,
,,QO13CV343,#3锅炉3角烧嘴下二次风门控制,10,0,100,%,,,
,,QO13CV373,#3锅炉4角烧嘴上上二次风门控制,10,0,100,%,,,
,,QO13CV383,#3锅炉4角烧嘴上二次风门控制,10,0,100,%,,,
,,QO13CV393,#3锅炉4角烧嘴中二次风门控制,10,0,100,%,,,
,,QO13CV403,#3锅炉4角烧嘴下二次风门控制,10,0,100,%,,,
,减温水,C11TCV01B3,#3锅炉左侧减温水调节门控制,10,0,100,%,,,
,,C11TCV01A3,#3锅炉右侧减温水调节门控制,10,0,100,%,,,
